"External ID","Бригада","Регион","Начало смены","Расход топлива/Оборудование/Наименование оборудования","Расход топлива/Количество","Расход топлива/Заправка / Расход"
"__export__.roadmark_mrp_shift_work_shift_21420_65bb6afb","К06 Камалов_","Россия","2023-09-03 06:00:00","К06 HYUNDAI VT (HD78)  В784ХС763","20.03","Расход"
"__export__.roadmark_mrp_shift_work_shift_21423_b9a5ecaf","Р01 Бочкарёв","Россия","2023-09-03 06:00:00","Р04 HYUNDAI АН 0303-1","33.39","Расход"
"","","","","Р01 Вулкан 2х400","22.6","Расход"
"","","","","Р01 Вулкан 2х400","40.0","Заправка"
"","","","","Р04 HYUNDAI АН 0303-1","70.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21432_608be735","П06 Алькин","Россия","2023-09-03 07:00:00","П01 Вулкан 5000 №005","91.6","Расход"
"","","","","П06 ГАЗ АН 8428-1","17.9","Расход"
"","","","","П06 Камаз В139ВН763","11.73","Расход"
"","","","","П06 Контур 1500 №4","84.31","Расход"
"","","","","П01 Вулкан 5000 №005","200.0","Заправка"
"","","","","П06 ГАЗ АН 8428-1","30.0","Заправка"
"","","","","П06 Контур 1500 №4","200.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21471_55170171","Р04 Безсилко","Россия","2023-09-03 07:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21431_a3e19c84","Р08 Алексеев","Россия","2023-09-03 07:00:00","Р09 бензогенератор huter dy-4000","0.75","Расход"
"","","","","Р08 HYUNDAI VT (HD78)   В837ХР763","21.4","Расход"
"","","","","Р08 HYUNDAI VT (HD78)   В837ХР763","40.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21485_e1723c08","Р11 Островский","Россия","2023-09-03 07:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21516_33653a8b","К04 Северенюк","Россия","2023-09-03 07:28:00","Б1.1 МАЗ  АI7476-1","224.4","Расход"
"","","","","ГАЗ NEXT АР 5743-1","62.13","Расход"
"","","","","П02 Контур 700 ТП №112","46.8","Расход"
"","","","","П02 Вулкан 5000 (Аренда)","52.0","Расход"
"","","","","Б1.1 МАЗ  АI7476-1","300.0","Заправка"
"","","","","П02 Контур 700 ТП №112","100.0","Заправка"
"","","","","ГАЗ NEXT АР 5743-1","30.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21446_4e7d5660","Д01 Небеленчук (демаркиратор)","Беларусь","2023-09-03 08:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21434_ac1e709d","К01 Чурак","Беларусь","2023-09-03 08:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21427_e5b42635","П02 Лагодич","Россия","2023-09-03 08:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21429_104950cf","П04 Старикевич","Россия","2023-09-03 08:00:00","П04 Вулкан 5000 №003","84.54","Расход"
"","","","","Контур 750 №1","83.4","Расход"
"","","","","П04 ГАЗ  АН 0195-1","12.76","Расход"
"","","","","Контур 750 №1","80.0","Заправка"
"","","","","П04 Вулкан 5000 №003","80.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21435_a7d9ad09","П05 Протасевич","Россия","2023-09-03 08:00:00","П01 МАЗ АМ 0041-1","52.52","Расход"
"","","","","Вулкан 3000","119.6","Расход"
"","","","","К01 ГАЗ  АН 0391-1","32.04","Расход"
"","","","","П01 Контур 700 ТПК № 73","102.8","Расход"
"","","","","Вулкан 3000","150.0","Заправка"
"","","","","П01 МАЗ АМ 0041-1","200.0","Заправка"
"","","","","П01 Контур 700 ТПК № 73","150.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21439_facc283d","Т01 Федоров (Тычковочная)","Россия","2023-09-03 08:10:00","Р09 Газ В721ХС763","30.0","Расход"
"","","","","Р09 Газ В721ХС763","35.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21459_510c4e07","Р05 Шумик","Беларусь","2023-09-03 09:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21488_97de8ff5","Р12 Демух","Россия","2023-09-03 09:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21503_f17e852e","Р03 Тахасюк","Россия","2023-09-03 09:24:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21419_911e80cb","К05 Наумчик","Россия","2023-09-03 09:30:00","К05 Шмель 11 АН АМ 6527-1","21.24","Расход"
"","","","","К05 Шмель 11 АН АМ 6527-1","30.0","Заправка"
